model,H,seed,acc_test
linear,,0,1.0
mlp,1,0,1.0
mlp,2,0,1.0
mlp,4,0,1.0
mlp,8,0,1.0
mlp,16,0,1.0
mlp,32,0,0.9333333333333333
mlp,64,0,0.9333333333333333
linear,,1,1.0
mlp,1,1,1.0
mlp,2,1,1.0
mlp,4,1,1.0
mlp,8,1,0.9666666666666667
mlp,16,1,1.0
mlp,32,1,0.9666666666666667
mlp,64,1,1.0
linear,,2,1.0
mlp,1,2,1.0
mlp,2,2,1.0
mlp,4,2,1.0
mlp,8,2,1.0
mlp,16,2,1.0
mlp,32,2,0.9666666666666667
mlp,64,2,0.9666666666666667
linear,,3,0.9333333333333333
mlp,1,3,0.9
mlp,2,3,0.9666666666666667
mlp,4,3,0.8666666666666667
mlp,8,3,0.9
mlp,16,3,0.9
mlp,32,3,0.8666666666666667
mlp,64,3,0.8666666666666667
linear,,4,0.9333333333333333
mlp,1,4,0.9333333333333333
mlp,2,4,0.9333333333333333
mlp,4,4,0.9333333333333333
mlp,8,4,0.9666666666666667
mlp,16,4,0.9333333333333333
mlp,32,4,0.9333333333333333
mlp,64,4,0.9666666666666667
